swift_code,bic8,bank_name,address,town_name,country_iso2,country_name,is_headquarter
GSPSPLP1XXX,GSPSPLP1,GOLDMAN SACHS POLAND SERVICES SPOLKA Z OGRANICZONA ODPOWIEDZ,"WARSAW SPIRE PLAC EUROPEJSKI 1 WARSZAWA, MAZOWIECKIE, 00-844",WARSZAWA,PL,POLAND,1
UNOGMTM1XXX,UNOGMTM1,UNIONGOLDENPAY LTD,"FLAT 12, REGENT HOUSE BISAZZA STREET SLIEMA, SLIEMA, SLM 1640",SLIEMA,MT,MALTA,1
XPATBGSFXXX,XPATBGSF,EXPAT ASSET MANAGEMENT EAD,"GEORGI RAKOVSKI STR 96A  SOFIA, SOFIA, 1000",SOFIA,BG,BULGARIA,1
CNENPLP1XXX,CNENPLP1,CURRENCY ONE S.A.,"SZYPERSKA 14, FLOOR V  POZNAN, WIELKOPOLSKIE, 61-754",POZNAN,PL,POLAND,1
SRZKPLPKXXX,SRZKPLPK,BANK SPOLDZIELCZY RZEMIOSLA W KRAKOWIE,"DUNAJEWSKIEGO 7  KRAKOW, MALOPOLSKIE, 31-133",KRAKOW,PL,POLAND,1
AUFCMTM1XXX,AUFCMTM1,AQA UCITS FUNDS SICAV PLC,"TRIQ DUN KARM  BIRKIRKARA, BIRKIRKARA, BKR 9034",BIRKIRKARA,MT,MALTA,1
LSAVUYM1XXX,LSAVUYM1,LATIN SECURITIES SA AGENTE DE VALORES,"RUTA 8 KM 17 500 OF 215 FLOOR 2 MONTEVIDEO, MONTEVIDEO, 11000",MONTEVIDEO,UY,URUGUAY,1
VGAGBGSFXXX,VGAGBGSF,"VARENGOLD BANK AG, SOFIA BRANCH","CHRISTOPHER COLUMBUS BLVD 43 FLOOR 9 SOFIA, SOFIA, 1521",SOFIA,BG,BULGARIA,1
APAYMTMTXXX,APAYMTMT,TRUST PAYMENTS (MALTA) LTD,"EUROPA BUSINESS CENTRE 2 1 TRIQ DUN KARM BIRKIRKARA, BIRKIRKARA, BKR 9034",BIRKIRKARA,MT,MALTA,1
PTFIPLPWSGM,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
FINDMTMTXXX,FINDMTMT,FINDUCTIVE LTD.,"FLOOR 2, CENTRIS BUSINESS GATEWAY II 46 TRIQ IS-SALIB TAL-IMRIEHEL BIRKIRKARA, BIRKIRKARA, CBD 3020",BIRKIRKARA,MT,MALTA,1
GSESMTMTXXX,GSESMTMT,GLOBAL SHARES EXECUTION SERVICES LIMITED,"171 OLD BAKERY STREET  VALLETTA, VALLETTA, VLT 1455",VALLETTA,MT,MALTA,1
PTFIPLPWAMM,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWP25,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWP30,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWP35,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWP40,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWP45,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWP50,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWP55,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWP60,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
VPAYPLP2XXX,VPAYPLP2,VIVA PAYMENT SERVICES SPOLKA AKCYJNA ODDZIAL W POLSCE,"VILLA METRO BUSINESS HOUSE 145 WARSZAWA, MAZOWIECKIE, 02-715",WARSZAWA,PL,POLAND,1
EKIRPLPWXXX,EKIRPLPW,KRAJOWA IZBA ROZLICZENIOWA S.A. (KIR S.A.),"PILECKIEGO ST. 65  WARSZAWA, MAZOWIECKIE, 02-781",WARSZAWA,PL,POLAND,1
INMKBGSSXXX,INMKBGSS,IP INTERCAPITAL MARKETS AD,"GEORGI SAVA RAKOVSKI 140 FLOOR 6 SOFIA, SOFIA, 1000",SOFIA,BG,BULGARIA,1
RSTAALTTXXX,RSTAALTT,ALBANIAN SECURITIES REGISTER ALREG,"AP 3, KATI 1, FLOOR 3 RRUGA NIKOLLA TUPE 1, NJESIA BASHKIAKE 5 TIRANA, TIRANA, 1001",TIRANA,AL,ALBANIA,1
FEMAMTMAXXX,FEMAMTMA,MULTITUDE BANK P.L.C.,"FLOOR 9, ST BUSINESS CENTRE 120 THE STRAND GZIRA, GZIRA, GZR 1027",GZIRA,MT,MALTA,1
TOFNPLPPXXX,TOFNPLPP,TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH PZU SA,"PZU PARK RONDO IGNACEGO DASZYNSKIEGO 4 WARSZAWA, MAZOWIECKIE, 00-843",WARSZAWA,PL,POLAND,1
INGBPLPHXXX,INGBPLPH,ING BANK HIPOTECZNY S.A.,"CHORZOWSKA 50  KATOWICE, SLASKIE, 40-101",KATOWICE,PL,POLAND,1
PZUSPLPPXXX,PZUSPLPP,POWSZECHNY ZAKLAD UBEZPIECZEN SPOLKA AKCYJNA,"PZU PARK RONDO IGNACEGO DASZYNSKIEGO 4 WARSZAWA, MAZOWIECKIE, 00-843",WARSZAWA,PL,POLAND,1
PZUZPLPPXXX,PZUZPLPP,POWSZECHNY ZAKLAD UBEZPIECZEN NA ZYCIE SPOLKA AKCYJNA,"PZU PARK RONDO IGNACEGO DASZYNSKIEGO 4 WARSZAWA, MAZOWIECKIE, 00-843",WARSZAWA,PL,POLAND,1
SDBMMCM2XXX,SDBMMCM2,SOCIETE GENERALE (FORMERLY SOCIETE DE BANQUE MONACO),"LE PARK PALACE 27 AVENUE DE LA COSTA MONACO, MONACO, 98000",MONACO,MC,MONACO,1
PCCACLRZXXX,PCCACLRZ,COMBANC S.A.,,SANTIAGO,CL,CHILE,1
PTFIPLPWFNK,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWMER,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PICTMCMCXXX,PICTMCMC,"BANK PICTET AND CIE (EUROPE) AG, SUCCURSALE DE MONACO","VILLA MIRAFLORES 2 AVENUE SAINT-MICHEL MONACO, MONACO, 98000",MONACO,MC,MONACO,1
SBMMMCMCXXX,SBMMMCMC,SOCIETE ANONYME DES BAINS DE MER ET DU CERCLE DES ETRANGERS A MONACO,"PLACE DU CASINO  MONACO, MONACO, 98000",MONACO,MC,MONACO,1
PABYMTM2XXX,PABYMTM2,PAYBYPAGO,"FLOOR 2 14 VAULT, VALLETTA WATERFRONT BIRKIRKARA, BIRKIRKARA, BKR 4013",BIRKIRKARA,MT,MALTA,1
PTFIPLPWEOS,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWOBG,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWORP,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
ITHOMTM2XXX,ITHOMTM2,A2A INTERNATIONAL HOLDINGS LIMITED,"VILLA MALITAH MEDITERRANEAN STREET ST. JULIAN'S, ST. JULIAN'S, STJ 3155",ST. JULIAN'S,MT,MALTA,1
MBWMMTMT010,MBWMMTMT,MEDIRECT BANK (MALTA) PLC,"FLOOR 1, THE CENTRE TIGNE POINT SLIEMA, SLIEMA, TPO 0001",SLIEMA,MT,MALTA,
MAGDCLRMXXX,MAGDCLRM,MONEDA S.A. ADMINISTRADORA GENERAL DE FONDOS,,SANTIAGO,CL,CHILE,1
EDMBMTM2XXX,EDMBMTM2,EUROPEAN DEPOSITARY BANK SA MALTA BRANCH,"FLOOR 1A, CENTRAL NORTH BUSINESS CENTRE SQAQ IL-FAWWARA SLIEMA, SLIEMA, SLM 1670",SLIEMA,MT,MALTA,1
EVNEMTM2XXX,EVNEMTM2,EVEREST NETWORK LTD.,"OFFICE 1/1165, FLOOR G, QUANTUM HOUSE 75 ABATE RIGORD STREET TA'XBIEX, TA'XBIEX, XBX 1120",TA'XBIEX,MT,MALTA,1
EAPSBGS2XXX,EAPSBGS2,EASY PAYMENT SERVICES LTD,"JAWAHARLAL NEHRU BLVD 28, 7 LYULIN RESIDENTIAL AREA, FLOOR 2, OFFICE SOFIA, SOFIA, 1324",SOFIA,BG,BULGARIA,1
AFPPCLR2XXX,AFPPCLR2,ADMINISTRADORA DE FONDOS DE PENSIONES PROVIDA S.A.,"AVENIDA PEDRO DE VALDIVIA 100 FLOOR 9 PROVIDENCIA - SANTIAGO PROVINCIA DE SANTIAGO, 7580502",SANTIAGO,CL,CHILE,1
TRPEMTMTXXX,TRPEMTMT,TRUEVO PAYMENTS LTD,"FLOOR 3, THE WATERCOURSE  BIRKIRKARA, BIRKIRKARA, CBD 2010",BIRKIRKARA,MT,MALTA,1
WSPDPLPPXXX,WSPDPLPP,WARMINSKO-MAZURSKI BANK SPOLDZIELCZY (WARMIA MASURIA COOPERATIVE BANK),"UL. GIZEWIUSZA 2A  PISZ, WARMINSKO-MAZURSKIE, 12-200",PISZ,PL,POLAND,1
VPAYBGS2XXX,VPAYBGS2,VIVA PAYMENT SERVICES S.A. BULGARIA BRANCH,"SVETA NEDELYA SQ. 16 FLOOR 2, OFFICE 3 SOFIA, SOFIA, 1000",SOFIA,BG,BULGARIA,1
BREXPLPWDKS,BREXPLPW,MBANK S.A. (FORMERLY BRE BANK S.A.),"SENATORSKA 18  WARSZAWA, MAZOWIECKIE, 00-950",WARSZAWA,PL,POLAND,
RMMNMTM2XXX,RMMNMTM2,RMB MANAGEMENT LIMITED,"113B PAOLA ROAD  TARXIEN, TARXIEN, TXN 1807",TARXIEN,MT,MALTA,1
MYFNBGSFXXX,MYFNBGSF,MYFIN EAD,"TSARIGRADSKO SHOSE BLVD. 111P  SOFIA, SOFIA, 1784",SOFIA,BG,BULGARIA,1
SPBCPLPPXXX,SPBCPLPP,BANK SPOLDZIELCZY W BYDGOSZCZY,"KOLLATAJA 8  - BYDGOSZCZ KUJAWSKO-POMORSKIE, 85-080 ",BYDGOSZCZ,PL,POLAND,1
PTFIPLPWFOS,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PICTMCMCCOR,PICTMCMC,"BANK PICTET AND CIE (EUROPE) AG, SUCCURSALE DE MONACO","VILLA MIRAFLORES 2 AVENUE SAINT-MICHEL MONACO, MONACO, 98000",MONACO,MC,MONACO,
BCECCLR2XXX,BCECCLR2,BANCO CENTRAL DE CHILE,,SANTIAGO,CL,CHILE,1
LLBBLV2X222,LLBBLV2X,SIGNET BANK AS,"ANTONIJAS 3  RIGA, RIGA, LV-1010",RIGA,LV,LATVIA,
PTFIPLPWE70,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
IGTRPLPWXXX,IGTRPLPW,IGORIA TRADE S.A.,"UL. PULAWSKA 111A, FLOOR 5  WARSZAWA, MAZOWIECKIE, 02-707",WARSZAWA,PL,POLAND,1
MNAAPLP2XXX,MNAAPLP2,ACE EUROPE SP. Z O.O.,"PLAC UNII, BUDYNEK B PULAWSKA 2, FLOOR 3 WARSZAWA, MAZOWIECKIE, 02-566",WARSZAWA,PL,POLAND,1
PKOPPLPWSMK,PKOPPLPW,BANK POLSKA KASA OPIEKI SA - BANK PEKAO SA,"WOLOSKA 18, FLOOR V  WARSZAWA, MAZOWIECKIE, 02-675",WARSZAWA,PL,POLAND,
PTFIPLPWFEO,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
PTFIPLPWP65,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
CBBRLV22TIP,CBBRLV22,BLUOR BANK AS,"SMILSU IELA 6  RIGA, RIGA, LV-1050",RIGA,LV,LATVIA,
CFTEMTM3XXX,CFTEMTM3,OPENPAYD FINANCIAL SERVICES MALTA LTD,"FLOOR 3 137 SPINOLA ROAD - ST JULIAN'S, ST. JULIAN'S, STJ 3140 ",ST. JULIAN'S,MT,MALTA,1
RIBRLV22TIP,RIBRLV22,REGIONALA INVESTICIJU BANKA,"J. ALUNANA 2  RIGA, RIGA, LV-1010",RIGA,LV,LATVIA,
BIGKBGSFXXX,BIGKBGSF,BIGBANK AS - BRANCH BULGARIA,"BOULEVARD GEN. EDUARD I. TOTLEBEN 53-55 FLOOR 2 SOFIA, SOFIA, 1606",SOFIA,BG,BULGARIA,1
KKSLLV22XXX,KKSLLV22,KOOPERATIVA KRAJAIZDEVU SABIEDRIBA ALFABETA,"AUSEKLA STREET 3-60  RIGA, RIGA, LV-1050",RIGA,LV,LATVIA,1
APAHMTMTXXX,APAHMTMT,ALPHA FX EUROPE LIMITED,"171 OLD BAKERY STREET  VALLETTA, VALLETTA, VLT 1455",VALLETTA,MT,MALTA,1
UNLALV2XTPS,UNLALV2X,SEB BANKA,"SEB FINANCE CENTER MEISTARU 1, VALDLAUCI, KEKAVAS PAG RIGA, RIGA, LV-1076",RIGA,LV,LATVIA,
REVCMTM2XXX,REVCMTM2,REPLICA SICAV PLC,"FLOOR 1, CENTRAL NORTH BUSINESS CENTRE SQAQ IL-FAWWARA SLIEMA, SLIEMA, SLM 1670",SLIEMA,MT,MALTA,1
ECCVCLRSXXX,ECCVCLRS,"CCLV, CONTRAPARTE CENTRAL S.A.",,SANTIAGO,CL,CHILE,1
BMPBPLPPXXX,BMPBPLPP,AION BANK S.A.,"DOBRA 40  WARSZAWA, MAZOWIECKIE, 00-344",WARSZAWA,PL,POLAND,1
HABALV22TIP,HABALV22,SWEDBANK AS,"BALASTA DAMBIS 1A  RIGA, RIGA, LV-1048",RIGA,LV,LATVIA,
PARXLV22TIP,PARXLV22,JSC CITADELE BANKA,"REPUBLIKAS LAUKUMS 2A  RIGA, RIGA, LV-1010",RIGA,LV,LATVIA,
MFMAMTM2XXX,MFMAMTM2,MIFINITY MALTA LIMITED,"FLOOR 3, TOWER BUSINESS CENTRE TOWER STREET BIRKIRKARA, BIRKIRKARA, BKR 4013",BIRKIRKARA,MT,MALTA,1
NWDMPLP2XXX,NWDMPLP2,NWAI DOM MAKLERSKI S.A.,"NOWY SWIAT 64  WARSZAWA, MAZOWIECKIE, 00-357",WARSZAWA,PL,POLAND,1
MSDMPLP2XXX,MSDMPLP2,MICHAEL STROM DOM MAKLERSKI S.A.,"ALEJE JEROZOLIMSKIE 100, FLOOR 6  WARSZAWA, MAZOWIECKIE, 00-807",WARSZAWA,PL,POLAND,1
TRELLV22ZIB,TRELLV22,"TREASURY OF THE REPUBLIC OF LATVIA, THE","SMILSU STREET 1  RIGA, RIGA, LV-1919",RIGA,LV,LATVIA,
FEMAMTMADCA,FEMAMTMA,MULTITUDE BANK P.L.C.,"FLOOR 9, ST BUSINESS CENTRE 120 THE STRAND GZIRA, GZIRA, GZR 1027",GZIRA,MT,MALTA,
PYMXMTMAXXX,PYMXMTMA,FINANCE INCORPORATED LIMITED,"THE PENTHOUSE TAZ-ZWEJT STREET SAN GWANN, SAN GWANN, SGN 3000",SAN GWANN,MT,MALTA,1
ANFVMTMMXXX,ANFVMTMM,ANDARIA FINANCIAL SERVICES LIMITED,"FLOOR 2, MELITA COURT GIUSEPPE CALI STREET, C/W TRIQ ABATE RIGORD TA'XBIEX, TA'XBIEX, XBX 1420",TA'XBIEX,MT,MALTA,1
LAPBLV2XTIP,LAPBLV2X,AS MAGNETIQ BANK,"BRIVIBAS IELA 54  RIGA, RIGA, LV-1011",RIGA,LV,LATVIA,
BCECCLRMFCE,BCECCLRM,BANCO CENTRAL DE CHILE,,SANTIAGO,CL,CHILE,
BCECCLRMFES,BCECCLRM,BANCO CENTRAL DE CHILE,,SANTIAGO,CL,CHILE,
BCECCLRMFRP,BCECCLRM,BANCO CENTRAL DE CHILE,,SANTIAGO,CL,CHILE,
EMOEMTM2XXX,EMOEMTM2,EMONEY PLC,"TRIQ IX XATT TA' XBIEX  MSIDA, MSIDA, MSD 1516",MSIDA,MT,MALTA,1
SDBMMCM2TPS,SDBMMCM2,SOCIETE GENERALE (FORMERLY SOCIETE DE BANQUE MONACO),"LE PARK PALACE 27 AVENUE DE LA COSTA MONACO, MONACO, 98000",MONACO,MC,MONACO,
LACBLV2XZMS,LACBLV2X,BANK OF LATVIA,"K. VALDEMARA STREET 2A  RIGA, RIGA, LV-1050",RIGA,LV,LATVIA,
AFPCCLRSXXX,AFPCCLRS,"AFP CUPRUM, S.A.",,SANTIAGO,CL,CHILE,1
CBEUUYMM0ME,CBEUUYMM,EUROCAM SA,"  MONTEVIDEO, MONTEVIDEO",MONTEVIDEO,UY,URUGUAY,
CBEUUYMM0MG,CBEUUYMM,EUROCAM SA,"18 DE JULIO 1459  MONTEVIDEO, MONTEVIDEO, 11200",MONTEVIDEO,UY,URUGUAY,
ECFEBG22XXX,ECFEBG22,ECONT FINANCIAL SERVICES LTD,"SLAVYANSKI BLVD 16  RUSE, RUSE, 7000",RUSE,BG,BULGARIA,1
LTZIBG22XXX,LTZIBG22,LTZ INVESTMENTS LTD,"UL. ATON 1A BUILDING 6, FLOOR 5, APT. 26 PLOVDIV, PLOVDIV, 4001",PLOVDIV,BG,BULGARIA,1
RIKOLV2XIPA,RIKOLV2X,LUMINOR BANK AS LATVIAN BRANCH,"SKANSTES STREET 12  RIGA, RIGA, LV-1013",RIGA,LV,LATVIA,
TEPJBGSFXXX,TEPJBGSF,TENEN PAYMENTS JSC,"STRANDZHA STR 52  SOFIA, SOFIA, 1303",SOFIA,BG,BULGARIA,1
PTFIPLPWGPL,PTFIPLPW,PKO TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA,"UL CHLODNA 52  WARSZAWA, MAZOWIECKIE, 00-872",WARSZAWA,PL,POLAND,
BCECCLRMCSH,BCECCLRM,BANCO CENTRAL DE CHILE,,SANTIAGO,CL,CHILE,
PANXLV22XXX,PANXLV22,UNIFIEDPOST PAYMENTS SA FILIALE LATVIJA,"DELU IELA 4  RIGA, RIGA, LV-1004",RIGA,LV,LATVIA,1
VPAYMTM2XXX,VPAYMTM2,VIVA PAYMENT SERVICES SINGLE MEMBER S.A. MALTA BRANCH,"FLOOR 5, OHEA BUILDINGS 6 SIR WILLIAM REID STREET GZIRA, GZIRA, GZR 1362",GZIRA,MT,MALTA,1
PANXPLP2XXX,PANXPLP2,"UNIFIEDPOST PAYMENTS JOINT STOCK COMPANY, BRANCH IN POLAND","AL. ALEJE JEROZOLIMSKIE 123A  WARSZAWA, MAZOWIECKIE, 02-017",WARSZAWA,PL,POLAND,1
SOGEMCM1TPS,SOGEMCM1,SOCIETE GENERALE MONTE CARLO (MONACO),"PALAIS DE LA SCALA 16 AVENUE DE LA COSTA MONACO, MONACO, 98007",MONACO,MC,MONACO,
ALBPPLPWCUS,ALBPPLPW,ALIOR BANK SPOLKA AKCYJNA,"LOPUSZANSKA BUSINESS PARK LOPUSZANSKA 38 D WARSZAWA, MAZOWIECKIE, 02-232",WARSZAWA,PL,POLAND,
BATSCLR2XXX,BATSCLR2,BRITISH AMERICAN TOBACCO CHILE OPERACIONES S.A.,"RUTA 68 S/N FUNDO LA ROTUNDA CASABLANCA, CASABLANCA-SETTAT 2480000",CASABLANCA,CL,CHILE,1
BATSCLR3XXX,BATSCLR3,BAT CHILE S.A,,SANTIAGO,CL,CHILE,1
AKFSMTM2XXX,AKFSMTM2,TRIVE FINANCIAL SERVICES MALTA LTD,"THE PENTHOUSE, FLOOR 5, LIFESTAR BUILDING TRIQ TESTAFERRATA TA'XBIEX, TA'XBIEX, XBX 1403",TA'XBIEX,MT,MALTA,1
LCDELV22EEX,LCDELV22,NASDAQ CSD SE,"VALNU STREET 1  RIGA, RIGA, LV-1050",RIGA,LV,LATVIA,
LCDELV22LTX,LCDELV22,NASDAQ CSD SE,"VALNU STREET 1  RIGA, RIGA, LV-1050",RIGA,LV,LATVIA,
LCDELV22LVX,LCDELV22,NASDAQ CSD SE,"VALNU STREET 1  RIGA, RIGA, LV-1050",RIGA,LV,LATVIA,
BLIKPLPWXXX,BLIKPLPW,POLSKI STANDARD PLATNOSCI SP. Z O.O.,"CZERNIAKOWSKA X20, 97A, FLOOR 2  WARSZAWA, MAZOWIECKIE, 00-718",WARSZAWA,PL,POLAND,1
CITIPLPXBRO,CITIPLPX,BANK HANDLOWY W WARSZAWIE SA,"SENATORSKA 16  WARSZAWA, MAZOWIECKIE, 00-923",WARSZAWA,PL,POLAND,
LCDELV22CLM,LCDELV22,NASDAQ CSD SE,"VALNU STREET 1  RIGA, RIGA, LV-1050",RIGA,LV,LATVIA,
ISAOPLPPXXX,ISAOPLPP,AS INBANK SPOLKA AKCYJNA ODDZIAL W POLSCE,"RIVERSIDE PARK FABRYCZNA 5A WARSZAWA, MAZOWIECKIE, 00-446",WARSZAWA,PL,POLAND,1
EKIRPLS1XXX,EKIRPLS1,KRAJOWA IZBA ROZLICZENIOWA S.A. (KIR S.A.),"RTM. PILECKIEGO 65  WARSZAWA, MAZOWIECKIE, 02-781",WARSZAWA,PL,POLAND,1
NOSJPLPPXXX,NOSJPLPP,BANK NOWY SPOLKA AKCYJNA,"UL. MALE GARBARY 8  POZNAN, WIELKOPOLSKIE, 61-756",POZNAN,PL,POLAND,1
PYMXMTMTMAL,PYMXMTMT,FINANCE INCORPORATED LIMITED,"BLOCK A, FLOOR 2, CAPITAL BUSINESS CENTRE TRIQ TAZ- ZWEJT SAN GWANN, SAN GWANN, SGN 3000",SAN GWANN,MT,MALTA,
FNTMPLP2XXX,FNTMPLP2,FINTECOM SP. Z O.O.,"MARSZALKA JOZEFA PILSUDSKIEGO 45 KOSZALIN, ZACHODNIOPOMORSKIE 75-502",KOSZALIN,PL,POLAND,1
CCUHMTMTMBB,CCUHMTMT,MONEYBASE,"FLOOR GF, EWROPA BUSINESS CENTRE TRIQ DUN KARM BIRKIRKARA, BIRKIRKARA, BKR 9034",BIRKIRKARA,MT,MALTA,
DIEUMTMTXXX,DIEUMTMT,DERIV INVESTMENTS (EUROPE) LIMITED,"FLOOR 3, W BUSINESS CENTRE TRIQ DUN KARM BIRKIRKARA, BIRKIRKARA, BKR 9033",BIRKIRKARA,MT,MALTA,1
TPMLMTMTXXX,TPMLMTMT,TRANSACT PAYMENTS MALTA LTD,"FLOOR 1, SOHO STRAND FAWWARA BUILDING TRIQ I-IMSIDA GZIRA, GZIRA, GZR 1401",GZIRA,MT,MALTA,1
TIMVMTM2XXX,TIMVMTM2,TIMBERLAND INVEST LIMITED,"ARAGON HOUSE BUSINESS CENTRE DRAGONARA ROAD - ST. JULIAN'S, ST JULIAN'S, STJ 3140",ST. JULIAN'S,MT,MALTA,1
LAVFLV22XXX,LAVFLV22,TF BANK AB LATVIJAS FILIALE,"DELU IELA 4  RIGA, RIGA, LV-1004",RIGA,LV,LATVIA,1
MTCCMTMTSTJ,MTCCMTMT,MTACC LIMITED,"ST JULIANS BUSINESS CENTRE 2 ELIA ZAMMIT STREET - ST. JULIAN'S, ST JULIAN'S, STJ 3153",ST. JULIAN'S,MT,MALTA,
NEXDMTM2XXX,NEXDMTM2,NEXTMARKETS TRADING LTD,,ST. JULIAN'S,MT,MALTA,1
AFNTCLRSXXX,AFNTCLRS,ADMINISTRADORA DE FONDOS DE PENSIONES CAPITAL S.A.,,SANTIAGO,CL,CHILE,1
BCECCLRRXXX,BCECCLRR,BANCO CENTRAL DE CHILE,,SANTIAGO,CL,CHILE,1
MOPZPLP2XXX,MOPZPLP2,MONEZIUM SP.Z.O.O,"LOK. 700 GRZYBOWSKA 80/82 WARSZAWA, MAZOWIECKIE, 00-844",WARSZAWA,PL,POLAND,1
PYMNBGS2XXX,PYMNBGS2,PAYMAN GROUP OOD,"STR. BULGARIA 49 BUSINESS CENTER VITOSHA, FLOOR 1 SOFIA, SOFIA, 1404",SOFIA,BG,BULGARIA,1
ICDRMTMTXXX,ICDRMTMT,INSIGNIA CARDS LIMITED,"FLOOR 4, PALAZZO SPINOLA 46 ST. CHRISTOPHER STREET VALLETTA, VALLETTA, VLT 1464",VALLETTA,MT,MALTA,1
CCTUCLRRXXX,CCTUCLRR,CENTRO DE COMPENSACION AUTOMATIZADO S.A.,,SANTIAGO,CL,CHILE,1
PCCACLR2XXX,PCCACLR2,COMBANC S.A.,"CERRO COLORADO 5240, FLOOR 8 TORRE 2 - SANTIAGO, PROVINCIA DE SANTIAGO, 8320000",SANTIAGO,CL,CHILE,1
APAHMTMVXXX,APAHMTMV,ALPHA FX EUROPE LIMITED,"171 OLD BAKERY STREET  VALLETTA, VALLETTA, VLT 1455",VALLETTA,MT,MALTA,1
DPCDBGS2XXX,DPCDBGS2,DATECS PAYMENT TECHNOLOGY EAD,"TSARIGRADSKO SHOSSE 115A FLOOR 6-TH SOFIA, SOFIA, 1784",SOFIA,BG,BULGARIA,1
CBBRLV22OVE,CBBRLV22,BLUOR BANK AS,"SMILSU IELA 6  RIGA, RIGA, LV-1050",RIGA,LV,LATVIA,
MIMKLV22XXX,MIMKLV22,MINTOS MARKETPLACE AS,"FLOOR 6TH, SKANSTES CITY SKANSTES STREET 50 RIGA, RIGA, LV-1013",RIGA,LV,LATVIA,1
KGITMTMTXXX,KGITMTMT,KAIZEN GAMING INTERNATIONAL LIMITED,"FLAT B8, THE ATRIUM WEST STREET MSIDA, MSIDA, MSD 1731",MSIDA,MT,MALTA,1
